,title,page_id,quality
0,Albedo,39,B
1,Argon,896,B
2,Avicenna,1130,B
3,Alexander Mackenzie (politician),1235,B
4,Americans with Disabilities Act of 1990,1338,B
5,Abraham,1436,B
6,An Enquiry Concerning Human Understanding,1756,B
7,Approval voting,1857,B
8,Arizona State University,1859,B
9,Geography of Africa,1854,B
10,Andrew Carnegie,1938,B
11,Approximant,1939,B
12,Anne Brontë,2029,B
13,Augustine of Hippo,2030,B
14,Ani DiFranco,2126,B
15,Ayahuasca,2328,B
16,Ajanta Caves,2642,B
17,Aerodynamics,2819,B
18,Ackermann function,2925,B
19,Anubis,3027,B
20,Arthur Jensen,3029,B
21,National Alliance (Italy),3237,B
22,The Buddha,3395,B
23,Brassicaceae,3794,B
24,Basketball,3921,B
25,Binary relation,3931,B
26,Blowfish (cipher),3940,B
27,Bill Watterson,4032,B
28,Bletchley Park,4037,B
29,Bali,4147,B
30,Brown University,4157,B
31,Bayezid I,4241,B
32,BASE jumping,4430,B
33,Barcelona,4443,B
34,Brownian motion,4436,B
35,Barnabas,4607,B
36,Birka,4608,B
37,Berkeley DB,4706,B
38,Bessel function,4700,B
39,Canada–United States relations,5199,B
40,Transportation in Canada,5197,B
41,Carbon nanotube,5320,B
42,Czechoslovakia,5322,B
43,Chile,5489,B
44,History of Chile,5490,B
45,California Institute of Technology,5786,B
46,Cardiff,5882,B
47,Charles Dickens,5884,B
48,Traditional Chinese medicine,5992,B
49,Chernobyl,6100,B
50,Chinese room,6216,B
51,Chromatography,6329,B
52,Ceramic,6458,B
53,Computer vision,6596,B
54,Classical liberalism,6677,B
55,Chicago,6886,B
56,Colin Powell,6984,B
57,Chocolate,7089,B
58,Civil war,7085,B
59,Cornet,7100,B
60,Cotton Mather,7104,B
61,Callisto (mythology),7214,B
62,Circumcision and law,7447,B
63,Jews as the chosen people,7451,B
64,Carl Rogers,7554,B
65,Compaq,7742,B
66,Dual space,7988,B
67,Disease,8072,B
68,Dave Brubeck,8176,B
69,Draught beer,8387,B
70,David Brewster,8487,B
71,Diego Maradona,8485,B
72,Detroit Tigers,8579,B
73,Disc jockey,8683,B
74,Desi Arnaz,8774,B
75,Dan Simmons,8875,B
76,Duck Hunt,8993,B
77,Diophantus,9110,B
78,ECHELON,9282,B
79,Edgar Rice Burroughs,9657,B
80,Eugène Viollet-le-Duc,9658,B
81,Elijah,9840,B
82,Ezra,9839,B
83,Erwin Schrödinger,9942,B
84,Edmund Burke,10030,B
