,title,page_id,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,revert_count,discussion_count,quality
0,Mayan languages,182013,7807,2533,832,466,366,719,415,472,FA
1,Mu'awiya I,207068,7752,3947,1377,657,720,1136,721,970,FA
2,The Fountainhead,180464,7811,2318,1104,486,618,971,228,218,FA
3,Northern pintail,218361,7730,763,376,282,94,334,86,54,FA
4,Manhattan Project,19603,8368,6417,2647,1281,1366,2296,1112,847,FA
5,Milton Keynes,148642,7892,4989,1757,876,881,1471,749,477,FA
6,Humpback whale,231728,7707,3911,1688,987,701,1426,762,332,FA
7,League of Nations,17926,8373,6191,3031,1341,1690,2652,1299,289,FA
8,Edward I of England,46373,8127,4960,1941,1027,914,1672,799,668,FA
9,1880 United States presidential election,40525,8159,1047,461,317,144,400,118,59,FA
10,Great spotted woodpecker,197202,7774,584,266,208,58,231,43,26,FA
11,Horologium (constellation),211830,7742,566,229,184,45,199,30,47,FA
12,Aliens (film),213472,7739,6614,2729,1248,1481,2332,1234,618,FA
13,USS Missouri (BB-63),87610,7952,2613,1008,613,396,862,366,735,FA
14,Kill 'Em All,209213,7747,3677,1724,677,1047,1485,632,198,FA
15,Diocletian,8580,8287,3908,1485,785,701,1291,529,216,FA
16,Olivier Messiaen,146595,7898,1610,703,443,260,593,145,159,FA
17,River Parrett,58547,8042,1335,201,159,42,165,45,276,FA
18,Edward VI,10245,8234,4925,2183,1049,1134,1913,1020,444,FA
19,Glycerius,36674,8187,434,178,138,40,152,12,45,FA
20,Homer Simpson,64072,8284,13392,6216,2624,3592,5342,3266,806,FA
21,Sieges of Taunton,240593,7693,181,83,72,11,65,20,31,FA
22,Cameroon,5447,8467,5555,2873,1562,1311,2482,1250,283,FA
23,Vagrant Story,296154,7623,1087,452,277,175,388,64,135,FA
24,Pictor,211820,7742,566,227,189,38,199,24,20,FA
25,Balfour Declaration,4820,8230,3373,1002,586,416,847,346,1319,FA
26,Pluto,44469,8270,10646,3652,2248,1404,2999,2010,4449,FA
27,Tosca,38245,8176,1809,551,317,234,453,190,410,FA
28,Primate,22984,8303,4624,1595,903,692,1334,857,562,FA
29,USS Iowa (BB-61),204679,7757,1714,706,459,247,583,405,250,FA
30,Richard Nixon,25473,8315,13105,4585,2920,1665,3749,2252,3076,FA
31,Sagitta,28163,8319,712,264,213,51,227,42,51,FA
32,Chicxulub crater,174609,7823,2649,1145,702,443,969,350,340,FA
33,Tower of London,31165,8254,5795,2591,1182,1409,2236,1399,364,FA
34,Canis Minor,6367,8320,870,342,252,90,297,69,43,FA
35,Emily Davison,60559,8028,2801,1246,596,650,1067,551,127,FA
36,Katharine Hepburn,43337,8147,5104,2068,1047,1021,1750,603,429,FA
37,Serpens,28149,8320,755,289,221,68,247,51,47,FA
38,Bobcat,171808,7829,4276,2063,938,1125,1781,1344,292,FA
39,Terry-Thomas,241503,7691,1696,511,333,178,437,117,171,FA
40,Governor of Kentucky,253074,7672,482,238,159,79,210,46,30,FA
41,Passenger pigeon,23924,8326,2966,1165,677,488,1011,469,344,FA
42,Benedetto Pistrucci,266376,7655,402,127,99,28,115,17,21,FA
43,Hassium,13764,8321,2184,450,298,152,372,155,428,FA
44,Groundhog Day (film),142327,7911,3812,1875,994,881,1637,530,253,FA
45,James Madison,15950,8352,10598,3567,1707,1860,2963,1999,1365,FA
46,Basiliscus,144810,7903,728,350,262,88,299,82,85,FA
47,Apollo 9,1774,8340,1377,525,356,169,456,155,124,FA
48,George IV,40225,8158,2682,1155,716,439,998,299,308,FA
49,El Greco,140639,7914,3710,1585,773,812,1356,838,272,FA
50,Croatian Spring,293678,7626,898,203,159,44,173,71,105,FA
51,Reginald Heber,232707,7706,479,223,173,50,198,22,44,FA
52,"From Russia, with Love (novel)",78016,7972,1186,445,292,153,374,89,152,FA
53,William the Conqueror,33917,8253,7694,2945,1396,1549,2458,1601,1135,FA
54,Pedro II of Brazil,81473,7965,3267,788,486,302,661,341,589,FA
55,Donkey Kong Country,153399,7879,3461,1159,582,577,963,380,217,FA
56,Comet Hale–Bopp,7227,8251,1580,826,491,335,729,314,214,FA
57,Jefferson Davis,16134,8306,8667,3360,1567,1794,2827,1877,756,FA
58,Stereolab,113619,7921,1652,554,319,235,476,126,96,FA
59,Tasha Yar,67072,7999,707,376,238,138,338,108,128,FA
60,Final Fantasy Tactics,52720,8073,1733,723,379,344,607,150,339,FA
61,Black-throated loon,183566,7803,427,180,155,25,151,27,14,FA
62,Oort cloud,22385,8289,2570,1062,627,435,904,422,630,FA
63,Georgette Heyer,80880,7966,675,312,228,84,273,29,75,FA
64,USS New Jersey (BB-62),191015,7788,1323,663,429,235,562,265,214,FA
65,Donner Party,268988,8100,5394,2062,877,1185,1737,1199,1009,FA
66,Operation Bernhard,306522,7609,647,308,202,106,271,34,42,FA
67,Second Punic War,28563,8289,3173,1214,665,550,1034,408,310,FA
68,Ian Thorpe,147429,7895,2655,1130,678,453,956,454,366,FA
69,Japanese battleship Yamato,206932,7752,2139,875,540,335,726,208,418,FA
