,title,page_id,quality
0,Mayan languages,182013,FA
1,Mu'awiya I,207068,FA
2,The Fountainhead,180464,FA
3,Northern pintail,218361,FA
4,Manhattan Project,19603,FA
5,Milton Keynes,148642,FA
6,Humpback whale,231728,FA
7,League of Nations,17926,FA
8,Edward I of England,46373,FA
9,1880 United States presidential election,40525,FA
10,Great spotted woodpecker,197202,FA
11,Horologium (constellation),211830,FA
12,Aliens (film),213472,FA
13,USS Missouri (BB-63),87610,FA
14,Kill 'Em All,209213,FA
15,Diocletian,8580,FA
16,Olivier Messiaen,146595,FA
17,River Parrett,58547,FA
18,Edward VI,10245,FA
19,Glycerius,36674,FA
20,Homer Simpson,64072,FA
21,Sieges of Taunton,240593,FA
22,Cameroon,5447,FA
23,Vagrant Story,296154,FA
24,Pictor,211820,FA
25,Balfour Declaration,4820,FA
26,Pluto,44469,FA
27,Tosca,38245,FA
28,Primate,22984,FA
29,USS Iowa (BB-61),204679,FA
30,Richard Nixon,25473,FA
31,Sagitta,28163,FA
32,Chicxulub crater,174609,FA
33,Tower of London,31165,FA
34,Canis Minor,6367,FA
35,Emily Davison,60559,FA
36,Katharine Hepburn,43337,FA
37,Serpens,28149,FA
38,Bobcat,171808,FA
39,Terry-Thomas,241503,FA
40,Governor of Kentucky,253074,FA
41,Passenger pigeon,23924,FA
42,Benedetto Pistrucci,266376,FA
43,Hassium,13764,FA
44,Groundhog Day (film),142327,FA
45,James Madison,15950,FA
46,Basiliscus,144810,FA
47,Apollo 9,1774,FA
48,George IV,40225,FA
49,El Greco,140639,FA
50,Croatian Spring,293678,FA
51,Reginald Heber,232707,FA
52,"From Russia, with Love (novel)",78016,FA
53,William the Conqueror,33917,FA
54,Pedro II of Brazil,81473,FA
55,Donkey Kong Country,153399,FA
56,Comet Hale–Bopp,7227,FA
57,Jefferson Davis,16134,FA
58,Stereolab,113619,FA
59,Tasha Yar,67072,FA
60,Final Fantasy Tactics,52720,FA
61,Black-throated loon,183566,FA
62,Oort cloud,22385,FA
63,Georgette Heyer,80880,FA
64,USS New Jersey (BB-62),191015,FA
65,Donner Party,268988,FA
66,Operation Bernhard,306522,FA
67,Second Punic War,28563,FA
68,Ian Thorpe,147429,FA
69,Japanese battleship Yamato,206932,FA
70,Pyxis,23984,FA
71,Court of Chancery,163555,FA
72,Gioachino Rossini,12406,FA
73,Interstate 90,89866,FA
74,Logarithm,17860,FA
75,Messier 87,214077,FA
76,USS Lexington (CV-2),199895,FA
77,USS Saratoga (CV-3),203279,FA
78,Romeo and Juliet,25821,FA
79,Ian Carmichael,156243,FA
80,Oberon (moon),66781,FA
81,Ernest Hemingway,9428,FA
82,Abd al-Malik ibn Marwan,101883,FA
83,Apollo 5,231435,FA
84,Disintegration (The Cure album),195305,FA
85,Back to the Future,42993,FA
86,Goldfinger (novel),168425,FA
87,Reign in Blood,197415,FA
88,Elephant,9279,FA
89,North Cascades National Park,45013,FA
90,"Mary, Queen of Scots",20603,FA
91,Candide,6629,FA
92,Cockatoo,201258,FA
93,Khalid al-Mihdhar,16838,FA
94,Triangulum Australe,30662,FA
95,Dorset,37589,FA
96,Octopus,22780,FA
97,Schizophrenia,27790,FA
98,Joan of Arc,16509,FA
99,Battle of Poitiers,4503,FA
100,Tern,210782,FA
101,Battle of Hastings,44667,FA
102,Emperor penguin,223204,FA
103,Altrincham,285284,FA
104,Myst,219731,FA
105,Laurence Olivier,43675,FA
106,Zinc,34420,FA
107,Æthelberht of Kent,9941,FA
108,First Punic War,11427,FA
109,Last of the Summer Wine,73370,FA
110,Enzyme,9257,FA
111,Ocean sunfish,307795,FA
112,Battle of Halidon Hill,240000,FA
113,Kurt Vonnegut,16861,FA
114,Catherine Zeta-Jones,150996,FA
115,Saturn,44474,FA
116,"Jerome, Arizona",106788,FA
117,Hoover Dam,14308,FA
118,George V,46823,FA
119,Talyllyn Railway,172764,FA
120,Alfred Russel Wallace,1494,FA
121,Ahmose I,80900,FA
