"characterCount","wordCount","syllableCount","sentenceCount","sectionCount","subsectionCount","paragraphCount","meanSectionSize","meanParagraphSize","largestSectionSize","shortestSectionSize","largestShortestSectionRatio","sectionSizeStandardDeviation","meanOfSubsectionsPerSection","abstractSize","abstractSizeArtcileLengthRatio","citationCount","citationCountPerTextLength","citationCountPerSection","externalLinksCount","externalLinksPerTextLength","externalLinksPerSection","imageCount","imagePerTextLength","imagePerSection","meanSentenceSize","largestSentenceSize","shortestSentenceSize","largeSentenceRate","shortSentenceRate","questionCount","questionRatio","exclamationCount","exclamationRatio","toBeVerbCount","toBeVerbRatio","toBeVerbPerSentence","toBeVerbRate","modalAuxiliaryVerbCount","modalAuxiliaryVerbsRatio","modalAuxiliaryVerbsPerSentence","modalAuxiliaryVerbsRate","passiveVoiceCount","passiveVoiceRatio","passiveVoicePerSentence","passiveVoiceRate","numberOfSentencesThatStartWithACoordinatingConjunction","numberOfSentencesThatStartWithADeterminer","numberOfSentencesThatStartWithASubordinatingPrepositionOrConjunction","numberOfSentencesThatStartWithAnAdjective","numberOfSentencesThatStartWithANoun","numberOfSentencesThatStartWithAPronoun","numberOfSentencesThatStartWithAnAdverb","numberOfSentencesThatStartWithAnArticle","numberOfSentencesThatStartWithACoordinatingConjunctionRatio","numberOfSentencesThatStartWithADeterminerRatio","numberOfSentencesThatStartWithASubordinatingPrepositionOrConjunctionRatio","numberOfSentencesThatStartWithAnAdjectiveRatio","numberOfSentencesThatStartWithANounRatio","numberOfSentencesThatStartWithAPronounRatio","numberOfSentencesThatStartWithAnAdverbRatio","numberOfSentencesThatStartWithAnArticleRatio","automatedReadabilityIndex","colemanLiauIndex","fleshReadingEase","fleschKincaidGradeLevel","gunningFogIndex","lasbarhetsIndex","smogGrading","daleChallReadabilityFormula","differentWordCount","differentWordsPerSentence","differentWordsRate","nounCount","nounsPerSentence","nounsRate","differentNounCount","differentNounsPerSentence","differentNounsRate","differentNounsDifferentWordsRatio","verbCount","verbsPerSentence","verbsRate","differentVerbCount","differentVerbsPerSentence","differentVerbsRate","differentVerbsDifferentWordsRatio","pronounCount","pronounsPerSentence","pronounsRate","differentPronounCount","differentPronounsPerSentence","differentPronounsRate","differentPronounsDifferentWordsRatio","adjectiveCount","adjectivesPerSentence","adjectivesRate","differentAdjectiveCount","differentAdjectivesPerSentence","differentAdjectivesRate","differentAdjectivesDifferentWordsRatio","adverbCount","adverbsPerSentence","adverbsRate","differentAdverbCount","differentAdverbsPerSentence","differentAdverbsRate","differentAdverbsDifferentWordsRatio","coordinatingConjunctionCount","coordinatingConjunctionsPerSentence","coordinatingConjunctionsRate","differentCoordinatingConjunctionCount","differentCoordinatingConjunctionsPerSentence","differentCoordinatingConjunctionsRate","differentCoordinatingConjunctionsDifferentWordsRatio","subordinatingPrepositionAndConjunctionCount","subordinatingPrepositionsAndConjunctionsPerSentence","subordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionAndConjunctionCount","differentSubordinatingPrepositionsAndConjunctionsPerSentence","differentSubordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionsAndConjunctionsDifferentWordsRatio","syllablesPerWord","charactersPerWord","NNP,NNP,NNP","VBD,DT,JJ","IN,DT,NNP","NNP,IN,DT","DT,NNP,NNP","JJ,NN,IN","NN,IN,DT","IN,DT,NN","NN,IN,NNP","IN,NNP,NNP","NNP,VBD,DT","VBD,DT,NN","DT,NN,IN","VBD,VBN,IN","NNP,NNP,VBD","IN,NN,IN","NNP,NNP,IN","NNP,IN,NNP","VBD,IN,DT","IN,DT,JJ","JJ,NNS,IN","DT,JJ,NN","IN,DT,NNS","IN,CD,NNP","VBN,IN,DT","DT,NN,NN","IN,PRP$,NN","NNP,VBD,VBN","NNP,CC,NNP","NNS,IN,DT","NN,IN,NN","DT,NN,VBD","NN,VBD,VBN","TO,VB,DT","NNP,POS,NN","ter","er_","_wa","was","as_","s_a","_a_","an_","e_a","_an","and","nd_","_re","ent","_of","of_","f_t","_th","the","he_","on_",",_a","at_","ed_","_on","n_t","or_","ing","ng_","_in","in_","d_t","d_a","_he","_to","ted","th_","al_","es_","ate","_co","ion","ere","_fo","for","s,_","to_","ati","st_","re_","_be","ly_","her","_hi","his","is_","e_t","en_","e_o","t_t","tio","_Th","age","agePerReview","reviewPerDay","reviewsPerUser","reviewsPerUserStdDev","discussionCount","reviewCount","registeredReviewCount","anonymouseReviewCount","registeredReviewRate","anonymouseReviewRate","registeredAnonymouseReviewRatio","userCount","occasionalUserCount","occasionalUserRate","registeredUserCount","anonymouseUserCount","registerdAnonymouseUserRatio","registeredUserRate","anonymouseUserRate","revertCount","revertReviewRatio","diversity","modifiedLinesRate","mostActiveUsersReviewCount","mostActiveUsersReviewRate","occasionalUsersReviewCount","occasionalUsersReviewRate","lastThreeMonthsReviewCount","lastThreeMonthsReviewRate","pageRank","indegree","outdegree","assortativity_inin","assortativity_inout","assortativity_outin","assortativity_outout","localClusteringCoefficient","reciprocity","linkCount","translationCount","probReviewRank","qualityClass"
14010,2848,4552,106,4,3,21,3502.5,135.61904761904762,9139,1097,8.330902461257976,3777.684167140851,0.75,1097,0.07830121341898644,77,0.7264150943396226,19.25,6,0.05660377358490566,1.5,5,0.04716981132075472,1.25,26.867924528301888,88,5,0.19811320754716982,0.33962264150943394,0,0,0,0,83,0.31679389312977096,0.7830188679245284,0.02914325842696629,16,0.061068702290076333,0.1509433962264151,0.0056179775280898875,29,0.11068702290076336,0.27358490566037735,0.010182584269662922,0,18,26,6,27,12,7,12,0,0.16981132075471697,0.24528301886792453,0.05660377358490566,0.25471698113207547,0.11320754716981132,0.0660377358490566,0.11320754716981132,15.173590073139707,12.023455056179774,44.34664087343651,13.748602925588298,16.969079923680308,52.99177367576244,14.80778289048914,11.284040208289166,850,8.018867924528301,0.2984550561797753,906,8.547169811320755,0.3181179775280899,269,2.5377358490566038,0.09445224719101124,0.3164705882352941,262,2.4716981132075473,0.09199438202247191,151,1.4245283018867925,0.05301966292134831,0.1776470588235294,145,1.3679245283018868,0.050912921348314606,11,0.10377358490566038,0.0038623595505617976,0.012941176470588235,206,1.9433962264150944,0.0723314606741573,100,0.9433962264150944,0.0351123595505618,0.11764705882352941,86,0.8113207547169812,0.030196629213483147,50,0.4716981132075472,0.0175561797752809,0.058823529411764705,115,1.0849056603773586,0.04037921348314607,3,0.02830188679245283,0.001053370786516854,0.0035294117647058825,444,4.188679245283019,0.15589887640449437,37,0.3490566037735849,0.012991573033707866,0.04352941176470588,1.598314606741573,4.919241573033708,7,9,20,25,10,32,38,47,44,29,7,19,57,15,10,10,14,28,1,26,11,39,7,7,13,6,11,8,11,12,13,3,7,5,20,69,80,40,36,73,43,47,60,27,112,104,98,41,36,115,113,30,265,335,217,60,52,53,208,13,45,13,144,104,119,106,62,45,30,97,35,39,17,45,26,29,38,39,27,24,25,84,15,37,28,36,34,28,34,34,39,45,33,27,46,25,21,4794,9.148854961832061,0.10930329578639966,6.238095238095238,11.42141198582107,1,524,452,72,0.8625954198473282,0.13740458015267176,6.277777777777778,84,0,0,68,16,4.25,0.8095238095238095,0.19047619047619047,0,0,0.16030534351145037,31,144,0.2748091603053435,0,0,8,0.015267175572519083,0.15,0,91,0,0,0.008225388150713029,0.9455355103905001,0.1916971916971917,0,0,9,0.15514525818400954,2
14295,2951,4676,100,5,0,19,2859,155.31578947368422,5478,1074,5.100558659217877,1987.4201870767038,0,1074,0.0751311647429171,58,0.58,11.6,9,0.09,1.8,3,0.03,0.6,29.51,107,9,0.23,0.48,0,0,0,0,112,0.3902439024390244,1.12,0.037953236191121655,35,0.12195121951219512,0.35,0.011860386309725517,46,0.1602787456445993,0.46,0.015587936292782108,0,21,23,5,30,8,7,16,0,0.21,0.23,0.05,0.3,0.08,0.07,0.16,16.140808200609968,11.680379532361911,42.82962211114878,14.616561809556085,17.768079972890547,54.21673573567038,15.112257680678326,10.985997423246356,886,8.86,0.3002372077261945,889,8.89,0.30125381226702813,282,2.82,0.09556082683835988,0.3182844243792325,287,2.87,0.09725516773974924,154,1.54,0.052185699762792276,0.17381489841986456,182,1.82,0.06167400881057269,12,0.12,0.004066418163334463,0.013544018058690745,171,1.71,0.0579464588275161,103,1.03,0.03490342256862081,0.1162528216704289,120,1.2,0.04066418163334463,58,0.58,0.01965435445611657,0.0654627539503386,113,1.13,0.03829210437139952,3,0.03,0.0010166045408336157,0.003386004514672686,427,4.27,0.1446967129786513,36,0.36,0.012199254490003388,0.040632054176072234,1.584547610979329,4.844120637072179,7,5,22,12,12,16,56,61,39,17,4,10,65,15,3,15,5,11,10,26,7,29,12,4,21,1,16,3,19,10,22,11,10,12,28,34,66,55,49,85,37,41,30,36,108,111,99,42,47,119,115,41,295,366,255,64,49,58,180,25,51,29,125,85,114,86,60,48,47,107,33,33,16,47,36,32,39,31,35,27,19,104,11,39,25,49,51,57,66,65,83,45,56,33,47,17,24,4648,11.826972010178118,0.08455249569707401,4.517241379310345,10.629994934219077,5,393,348,45,0.8854961832061069,0.11450381679389313,7.733333333333333,87,76,0.8735632183908046,73,14,5.214285714285714,0.8390804597701149,0.16091954022988506,1,0.002544529262086514,0.22137404580152673,30,123,0.31297709923664124,228,0.5801526717557252,0,0,3.7882989078318015,0,102,0,0,0.010213267234397624,1.2294965729142049,0.17909143855562026,0,130,6,0.15401622036641247,2
32047,6616,10477,228,13,0,38,2465.153846153846,174.10526315789474,7677,50,153.54,2151.937001627686,0,50,0.001560208443848098,115,0.5043859649122807,8.846153846153847,12,0.05263157894736842,0.9230769230769231,6,0.02631578947368421,0.46153846153846156,29.017543859649123,87,3,0.19736842105263158,0.3991228070175439,0,0,0,0,239,0.43772893772893773,1.0482456140350878,0.03612454655380895,42,0.07692307692307693,0.18421052631578946,0.0063482466747279325,95,0.17399267399267399,0.4166666666666667,0.01435912938331318,0,46,54,5,71,24,13,37,0,0.20175438596491227,0.23684210526315788,0.021929824561403508,0.31140350877192985,0.10526315789473684,0.05701754385964912,0.16228070175438597,15.893368362714526,11.661844014510276,43.41088101147673,14.413148030293389,17.628782961030147,53.33419045973891,15.069178484269955,11.159311590190713,1632,7.157894736842105,0.24667472793228537,2080,9.12280701754386,0.3143893591293833,602,2.6403508771929824,0.09099153567110037,0.36887254901960786,546,2.3947368421052633,0.08252720677146312,252,1.105263157894737,0.0380894800483676,0.15441176470588236,341,1.4956140350877194,0.05154171704957678,17,0.07456140350877193,0.002569528415961306,0.010416666666666666,500,2.192982456140351,0.07557436517533253,237,1.0394736842105263,0.03582224909310762,0.14522058823529413,211,0.9254385964912281,0.03189238210399033,86,0.37719298245614036,0.012998790810157194,0.05269607843137255,257,1.1271929824561404,0.03884522370012092,5,0.021929824561403508,0.0007557436517533253,0.0030637254901960784,1038,4.552631578947368,0.1568923821039903,44,0.19298245614035087,0.006650544135429262,0.02696078431372549,1.5835852478839179,4.843863361547763,21,22,40,22,34,69,107,142,86,45,13,32,155,32,15,21,33,63,11,82,21,124,29,15,39,20,40,15,28,38,40,17,16,19,22,127,136,124,114,200,93,120,105,52,266,281,262,123,140,290,286,64,590,662,505,211,123,109,323,79,124,62,278,200,210,181,123,74,82,211,70,103,79,91,60,113,119,86,66,60,50,204,71,107,92,97,94,93,168,161,178,104,96,80,88,97,44,5429,6.052396878483835,0.16522379812120097,4.6,10.388038323292161,10,897,741,156,0.8260869565217391,0.17391304347826086,4.75,195,171,0.8769230769230769,144,51,2.823529411764706,0.7384615384615385,0.26153846153846155,1,0.0011148272017837235,0.21739130434782608,73,303,0.3377926421404682,510,0.568561872909699,6,0.006688963210702341,7.163025250945688,0,190,0,0,0.018228208076257534,2.229633747143475,0.082010582010582,0,216,31,0.25477717593677396,2
46422,9045,15745,389,16,9,96,2901.375,94.21875,9720,50,194.4,3089.1864489969953,0.5625,1937,0.041725905820516135,186,0.4781491002570694,11.625,15,0.038560411311053984,0.9375,11,0.028277634961439587,0.6875,23.251928020565554,81,3,0.17480719794344474,0.3393316195372751,0,0,0,0,274,0.40058479532163743,0.7043701799485861,0.03029297954671089,25,0.03654970760233918,0.06426735218508997,0.002763957987838585,168,0.24561403508771928,0.4318766066838046,0.01857379767827529,0,126,113,19,62,25,17,102,0,0.32390745501285345,0.29048843187660667,0.04884318766066838,0.15938303341902313,0.06426735218508997,0.043701799485861184,0.2622107969151671,14.369277443118598,13.105136539524601,35.96762639245932,14.01899266876131,18.123325105406987,53.34771282476507,16.066338518649637,11.950722108537574,2042,5.249357326478149,0.2257600884466556,3069,7.889460154241645,0.33930348258706466,649,1.6683804627249357,0.07175234936428966,0.3178256611165524,684,1.7583547557840618,0.07562189054726368,353,0.9074550128534704,0.03902708678828082,0.17286973555337903,239,0.6143958868894601,0.02642343836373687,14,0.03598971722365039,0.0015478164731896075,0.0068560235063663075,806,2.0719794344473006,0.08911000552791598,268,0.6889460154241646,0.02962962962962963,0.13124387855044076,262,0.6735218508997429,0.02896627971254837,102,0.2622107969151671,0.011276948590381426,0.04995102840352596,340,0.8740359897172236,0.037589828634604756,5,0.012853470437017995,0.000552791597567717,0.002448579823702253,1253,3.2210796915167097,0.13852957435046986,48,0.12339331619537275,0.005306799336650083,0.023506366307541625,1.7407407407407407,5.132338308457712,119,39,109,41,62,80,137,193,75,63,29,45,149,73,57,25,41,27,30,129,49,157,29,71,67,47,9,34,42,75,17,84,41,42,6,118,226,147,138,182,130,99,224,95,336,360,343,204,161,365,334,158,988,906,905,342,59,121,516,74,125,66,256,248,214,171,204,113,29,246,105,229,87,82,79,152,417,153,131,123,72,251,161,130,152,107,102,54,15,28,31,123,91,62,106,162,118,4282,6.439097744360902,0.15530126109294723,1.8575418994413408,5.941294183414029,3,665,508,157,0.7639097744360902,0.23609022556390977,3.2356687898089174,358,340,0.9497206703910615,217,141,1.5390070921985815,0.6061452513966481,0.39385474860335196,2,0.0030075187969924814,0.5383458646616541,111,260,0.39097744360902253,405,0.6090225563909775,4,0.006015037593984963,6.80122024361236,0,242,0,0,0.027924612510478165,1.4155809625099707,0.08531943348993519,0,351,27,0.33710684407006614,2
10809,2105,3673,90,5,0,17,2161.8,123.82352941176471,4897,875,5.596571428571429,1637.3947905132716,0,947,0.08761217503931909,64,0.7111111111111111,12.8,6,0.06666666666666667,1.2,5,0.05555555555555555,1,23.38888888888889,46,8,0.18888888888888888,0.28888888888888886,0,0,0,0,63,0.35195530726256985,0.7,0.02992874109263658,6,0.0335195530726257,0.06666666666666667,0.0028503562945368173,41,0.22905027932960895,0.45555555555555555,0.019477434679334917,0,21,21,0,21,14,8,18,0,0.23333333333333334,0.23333333333333334,0,0.23333333333333334,0.15555555555555556,0.08888888888888889,0.2,14.449902876748482,13.12775296912114,35.477320533122224,14.121405384006334,17.84961731327527,52.437372970590395,15.86053750721025,11.367629268936394,764,8.488888888888889,0.36294536817102135,692,7.688888888888889,0.3287410926365796,273,3.033333333333333,0.12969121140142517,0.35732984293193715,179,1.988888888888889,0.0850356294536817,167,1.8555555555555556,0.07933491686460807,0.21858638743455497,99,1.1,0.04703087885985748,9,0.1,0.004275534441805225,0.011780104712041885,127,1.4111111111111112,0.06033254156769596,83,0.9222222222222223,0.039429928741092635,0.10863874345549739,59,0.6555555555555556,0.028028503562945367,45,0.5,0.021377672209026127,0.058900523560209424,85,0.9444444444444444,0.040380047505938245,4,0.044444444444444446,0.0019002375296912114,0.005235602094240838,293,3.2555555555555555,0.13919239904988123,30,0.3333333333333333,0.014251781472684086,0.03926701570680628,1.7448931116389548,5.134916864608076,17,3,16,3,9,13,27,45,22,24,7,15,41,21,11,7,8,19,3,19,7,20,9,0,17,6,4,11,10,17,5,18,15,18,5,38,63,43,37,46,33,31,25,21,94,118,100,74,38,103,90,36,209,214,187,77,35,29,149,13,31,26,61,59,63,50,76,29,19,86,36,15,26,33,18,52,66,26,26,33,27,80,23,22,33,26,22,36,22,20,21,35,29,21,23,37,18,2365,20.04237288135593,0.04989429175475687,1.4936708860759493,2.5863220976629067,4,118,104,14,0.8813559322033898,0.11864406779661017,7.428571428571429,79,76,0.9620253164556962,65,14,4.642857142857143,0.8227848101265823,0.17721518987341772,2,0.01694915254237288,0.6694915254237288,17,42,0.3559322033898305,78,0.6610169491525424,0,0,2.136148604689238,53,65,0.0028309248895061136,0.31563540930655093,0.003471889015432026,0.38710003028161905,0.15478777343184122,0.8153846153846154,70,14,0.17108165889152802,2
14936,2938,4881,121,5,2,22,2987.2,133.54545454545453,4598,1084,4.24169741697417,1534.0916530637928,0.4,1632,0.10926620246384575,133,1.0991735537190082,26.6,21,0.17355371900826447,4.2,6,0.049586776859504134,1.2,24.28099173553719,66,7,0.19008264462809918,0.371900826446281,0,0,0,0,84,0.345679012345679,0.6942148760330579,0.02859087814840027,7,0.02880658436213992,0.05785123966942149,0.002382573179033356,55,0.22633744855967078,0.45454545454545453,0.018720217835262083,0,30,43,8,19,5,8,23,0,0.24793388429752067,0.35537190082644626,0.06611570247933884,0.15702479338842976,0.04132231404958678,0.06611570247933884,0.19008264462809918,14.654866187714134,12.873274336283185,41.640916601499896,13.48333082042656,16.96903386235647,53.95222776082039,15.11900812211918,11.779193214589112,991,8.190082644628099,0.33730428863172224,909,7.512396694214876,0.30939414567733153,334,2.760330578512397,0.11368277739959155,0.33703329969727547,243,2.0082644628099175,0.08270932607215793,181,1.4958677685950412,0.06160653505786249,0.18264379414732593,97,0.8016528925619835,0.03301565690946222,11,0.09090909090909091,0.0037440435670524166,0.011099899091826439,288,2.3801652892561984,0.09802586793737236,116,0.9586776859504132,0.039482641252552755,0.1170534813319879,99,0.8181818181818182,0.03369639210347175,55,0.45454545454545453,0.018720217835262083,0.055499495459132187,103,0.8512396694214877,0.03505786249149081,3,0.024793388429752067,0.0010211027910142954,0.0030272452068617556,458,3.7851239669421486,0.15588835942818244,39,0.32231404958677684,0.01327433628318584,0.039354187689202826,1.6613342409802587,5.083730428863173,30,7,24,10,11,22,45,72,16,19,13,22,61,22,11,9,5,5,16,43,29,46,16,28,18,14,3,7,8,28,13,17,15,10,3,35,96,41,29,47,45,44,51,39,113,115,102,60,33,103,99,33,305,273,253,61,40,49,186,32,50,40,85,91,103,73,78,33,20,89,37,14,26,56,34,61,44,68,45,41,40,81,42,39,80,33,28,38,21,26,23,46,43,28,34,38,32,2596,12.663414634146342,0.07896764252696456,2.303370786516854,6.398516330834446,13,205,183,22,0.8926829268292683,0.1073170731707317,8.318181818181818,89,82,0.9213483146067416,71,18,3.9444444444444446,0.797752808988764,0.20224719101123595,1,0.004878048780487805,0.43414634146341463,21,86,0.4195121951219512,103,0.5024390243902439,1,0.004878048780487805,1.6607588020741193,35,65,0.0016183421979953827,0.4138094112083235,0.0030054926534199963,0.7685031922440293,0.09808080808080807,0.5384615384615384,70,13,0.19694276278141531,2
5131,1012,1664,50,5,0,9,1026.2,112.44444444444444,1522,389,3.9125964010282774,514.768588785291,0,623,0.12141882673942701,56,1.12,11.2,22,0.44,4.4,1,0.02,0.2,20.24,45,1,0.18,0.34,0,0,0,0,27,0.36486486486486486,0.54,0.0266798418972332,1,0.013513513513513514,0.02,0.0009881422924901185,19,0.25675675675675674,0.38,0.018774703557312252,0,12,6,1,11,8,0,8,0,0.24,0.12,0.02,0.22,0.16,0,0.16,12.57044466403162,12.550079051383399,47.186261660079055,11.705971541501977,14.815367588932805,47.01705029838023,13.662883650711645,11.287182656126483,464,9.28,0.45849802371541504,372,7.44,0.3675889328063241,185,3.7,0.18280632411067194,0.39870689655172414,74,1.48,0.07312252964426877,84,1.68,0.08300395256916997,0.1810344827586207,36,0.72,0.03557312252964427,8,0.16,0.007905138339920948,0.017241379310344827,49,0.98,0.04841897233201581,39,0.78,0.038537549407114624,0.08405172413793104,30,0.6,0.029644268774703556,21,0.42,0.020750988142292492,0.04525862068965517,34,0.68,0.03359683794466403,3,0.06,0.0029644268774703555,0.00646551724137931,146,2.92,0.1442687747035573,29,0.58,0.02865612648221344,0.0625,1.6442687747035574,5.070158102766799,40,2,5,3,10,6,14,19,7,12,2,9,19,9,5,3,10,9,6,15,2,13,0,7,4,10,3,11,2,3,3,4,3,2,4,13,53,21,21,35,19,21,17,15,39,40,32,12,12,31,27,12,74,73,71,28,21,12,65,9,13,11,56,48,30,21,29,12,5,36,11,20,13,8,8,27,24,5,15,12,10,30,12,10,7,9,8,8,12,10,12,12,16,12,10,18,10,2180,26.265060240963855,0.038073394495412846,1.5961538461538463,3.6096798803512162,9,83,72,11,0.8674698795180723,0.13253012048192772,6.545454545454546,52,51,0.9807692307692307,42,10,4.2,0.8076923076923077,0.19230769230769232,2,0.024096385542168676,0.6265060240963856,11,32,0.3855421686746988,56,0.6746987951807228,0,0,0.5902152282964096,20,56,0.0008163541516173747,0.15665258167577037,0.0022857916245286494,0.4386272286921571,0.08096491228070175,0.35714285714285715,61,6,0.10367942611769032,2
14852,2866,5160,116,4,4,17,3713,168.58823529411765,12462,34,366.52941176470586,5874.609206860771,1,1726,0.11621330460544034,122,1.0517241379310345,30.5,34,0.29310344827586204,8.5,5,0.04310344827586207,1.25,24.70689655172414,52,7,0.15517241379310345,0.31896551724137934,0,0,0,0,101,0.4926829268292683,0.8706896551724138,0.03524075366364271,5,0.024390243902439025,0.04310344827586207,0.0017445917655268667,60,0.2926829268292683,0.5172413793103449,0.0209351011863224,1,38,35,3,17,10,5,29,0.008620689655172414,0.3275862068965517,0.3017241379310345,0.02586206896551724,0.14655172413793102,0.08620689655172414,0.04310344827586207,0.25,15.331305917174,13.472909979064898,29.44207780879276,15.290630339052388,19.582688837019035,56.03794561645225,17.112357122050618,12.222548251798734,912,7.862068965517241,0.3182135380321005,994,8.568965517241379,0.3468248429867411,319,2.75,0.1113049546406141,0.34978070175438597,205,1.7672413793103448,0.07152826238660154,157,1.353448275862069,0.05478018143754362,0.17214912280701755,89,0.7672413793103449,0.031053733426378228,9,0.07758620689655173,0.00314026517794836,0.009868421052631578,236,2.0344827586206895,0.08234473133286811,109,0.9396551724137931,0.038032100488485696,0.11951754385964912,84,0.7241379310344828,0.02930914166085136,54,0.46551724137931033,0.01884159106769016,0.05921052631578947,95,0.8189655172413793,0.03314724354501047,3,0.02586206896551724,0.00104675505931612,0.003289473684210526,413,3.560344827586207,0.1441032798325192,34,0.29310344827586204,0.011863224005582694,0.03728070175438596,1.8004187020237266,5.182135380321005,75,10,32,22,20,18,45,61,28,9,10,12,47,27,14,12,19,11,7,51,16,42,8,13,33,6,2,9,8,30,1,20,18,10,5,24,95,72,57,82,35,29,105,15,98,124,108,54,38,145,131,62,309,268,270,91,30,37,165,25,38,27,70,60,93,86,74,24,10,74,34,38,26,24,21,45,124,46,43,43,30,65,34,37,52,33,45,19,7,16,17,33,33,30,30,31,38,4445,11.057213930348258,0.09043869516310461,1.8190045248868778,5.561540083055614,4,402,332,70,0.8258706467661692,0.17412935323383086,4.742857142857143,221,210,0.9502262443438914,153,68,2.25,0.6923076923076923,0.3076923076923077,2,0.004975124378109453,0.5497512437810945,26,161,0.40049751243781095,241,0.599502487562189,4,0.009950248756218905,4.095413344047206,138,183,0.03456638684576453,0.8069440396385893,0.04583803473025296,1.0700779656076944,0.09584306853582554,0.7540983606557377,237,27,0.20479118981305405,2
9844,2004,3390,69,5,0,13,1968.8,154.15384615384616,5785,122,47.41803278688525,2275.023670206532,0,966,0.09813084112149532,49,0.7101449275362319,9.8,7,0.10144927536231885,1.4,2,0.028985507246376812,0.4,29.043478260869566,60,9,0.18840579710144928,0.36231884057971014,0,0,0,0,62,0.4626865671641791,0.8985507246376812,0.03093812375249501,7,0.05223880597014925,0.10144927536231885,0.003493013972055888,37,0.27611940298507465,0.5362318840579711,0.018463073852295408,0,32,16,4,8,4,0,27,0,0.463768115942029,0.2318840579710145,0.057971014492753624,0.11594202898550725,0.057971014492753624,0,0.391304347826087,16.228086435824004,12.06443113772455,34.245091122103645,15.69803436605051,19.840944198559402,57.017767282336735,17.088572208784473,12.247166302178252,662,9.594202898550725,0.33033932135728544,704,10.202898550724637,0.35129740518962077,219,3.1739130434782608,0.1092814371257485,0.33081570996978854,134,1.9420289855072463,0.06686626746506986,95,1.3768115942028984,0.04740518962075848,0.14350453172205438,39,0.5652173913043478,0.019461077844311378,8,0.11594202898550725,0.003992015968063872,0.012084592145015106,178,2.579710144927536,0.08882235528942116,95,1.3768115942028984,0.04740518962075848,0.14350453172205438,54,0.782608695652174,0.02694610778443114,30,0.43478260869565216,0.014970059880239521,0.045317220543806644,65,0.9420289855072463,0.03243512974051896,3,0.043478260869565216,0.0014970059880239522,0.004531722054380665,282,4.086956521739131,0.1407185628742515,28,0.4057971014492754,0.013972055888223553,0.04229607250755287,1.6916167664670658,4.912175648702595,45,3,37,17,15,23,49,39,12,12,6,10,31,13,16,6,20,12,6,41,6,37,5,21,17,2,4,8,4,15,4,18,9,16,4,15,67,34,31,45,26,34,38,19,69,76,67,37,19,97,85,44,203,194,194,86,22,17,101,24,41,16,36,37,61,55,36,24,6,64,27,38,20,7,17,42,107,30,31,33,15,70,31,18,32,30,22,14,3,5,9,23,24,14,17,24,30,3571,29.03252032520325,0.03444413329599552,1.5569620253164558,2.4690226211332384,2,123,104,19,0.8455284552845529,0.15447154471544716,5.473684210526316,79,76,0.9620253164556962,61,18,3.388888888888889,0.7721518987341772,0.22784810126582278,1,0.008130081300813009,0.6422764227642277,13,39,0.3170731707317073,87,0.7073170731707317,0,0,2.1202191444171166,0,115,0,0,0.012943783362662789,0.49014157586539175,0.2055682684973303,0,164,20,0.15639735793925563,2
7165,1388,2413,54,5,2,10,1433,138.8,5353,162,33.04320987654321,2230.064909369232,0.4,1165,0.162595952547104,33,0.6111111111111112,6.6,5,0.09259259259259259,1,4,0.07407407407407407,0.8,25.703703703703702,42,9,0.14814814814814814,0.2777777777777778,0,0,0,0,44,0.5,0.8148148148148148,0.03170028818443804,1,0.011363636363636364,0.018518518518518517,0.0007204610951008645,26,0.29545454545454547,0.48148148148148145,0.018731988472622477,0,16,24,0,1,5,2,15,0,0.2962962962962963,0.4444444444444444,0,0.018518518518518517,0.09259259259259259,0.037037037037037035,0.2777777777777778,15.735360497384995,13.401585014409225,33.67095687906931,14.948421389689404,19.15756217312413,55.909633594071636,16.772525197182382,12.214847507738288,539,9.981481481481481,0.388328530259366,523,9.685185185185185,0.37680115273775217,188,3.4814814814814814,0.13544668587896252,0.34879406307977734,88,1.6296296296296295,0.06340057636887608,83,1.537037037037037,0.05979827089337176,0.15398886827458255,38,0.7037037037037037,0.027377521613832854,4,0.07407407407407407,0.002881844380403458,0.0074211502782931356,98,1.8148148148148149,0.07060518731988473,63,1.1666666666666667,0.045389048991354465,0.11688311688311688,33,0.6111111111111112,0.02377521613832853,20,0.37037037037037035,0.01440922190201729,0.03710575139146568,53,0.9814814814814815,0.03818443804034582,3,0.05555555555555555,0.002161383285302594,0.0055658627087198514,209,3.8703703703703702,0.1505763688760807,30,0.5555555555555556,0.021613832853025938,0.055658627087198514,1.7384726224783862,5.162103746397695,37,5,22,11,19,7,26,31,12,13,1,6,25,14,4,3,15,4,1,17,13,14,4,8,11,8,2,1,13,14,2,24,12,3,0,10,41,38,33,43,12,21,28,11,56,60,62,24,20,62,56,28,138,127,129,58,19,12,88,20,22,12,35,35,49,46,30,12,2,32,13,27,16,14,10,29,73,14,25,19,15,35,24,12,12,14,22,5,2,3,3,6,15,13,14,23,18,3032,10.174496644295303,0.09828496042216359,5.96,7.902363376786445,4,298,262,36,0.8791946308724832,0.12080536912751678,7.277777777777778,50,1,0.02,41,9,4.555555555555555,0.82,0.18,1,0.003355704697986577,0.16778523489932887,12,92,0.3087248322147651,2,0.006711409395973154,2,0.006711409395973154,2.810213860603891,0,121,0,0,0.013902486039116113,0.7341054953870838,0.16384297520661156,0,165,15,0.13304074910873007,2
