title,page_id,char_count,word_count,sentence_count,syllable_count,complex_word_count,ARI,CLI,FRE,FKG,GFI,LIX,SMOG,section_count,subsection_count,paragraph_count,mean_section_size,mean_paragraph_size,longest_section_size,shortest_section_size,abstract_size,abstract_text_ratio,citation_count,citation_per_text,external_link_count,internal_link_count,link_per_text,image_count,image_per_text,infobox,mean_sentence_size,largest_sentence_size,shortest_sentence_size,question_count,exclamation_count,pronoun_start_count,pronoun_start_count_sentence_ratio,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,review_per_day,review_per_user,revert_count,discussion_count,quality
Mayan languages,182013,37370,6527,181,9294,957,16.0,13.93,48.54,12.1,12.37,58.11,14.2,12,25,81,3021.5,462.85185185185185,7835,685,2041,0.05461600214075461,82,0.002194273481402194,30,365,0.01056997591651057,9,0.00024083489430024084,1,205.43093922651934,748,29,0,0,1,0.0055248618784530384,7807,2533,832,466,366,719,0.3244524144998079,3.0444711538461537,415,472,1
Mu'awiya I,207068,67665,12267,338,16816,1571,16.0,12.36,54.36,11.9,12.85,56.87,14.0,14,17,75,4640.857142857143,903.3333333333334,12983,1476,3563,0.052656469371166775,0,0.0,0,523,0.007729254415133378,8,0.00011822951304219316,1,199.198224852071,577,32,0,0,35,0.10355029585798817,7752,3947,1377,657,720,1136,0.5091589267285862,2.8663761801016703,721,970,1
The Fountainhead,180464,36772,6647,243,9321,924,13.5,12.47,51.38,11.0,11.01,50.89,13.2,11,21,54,3185.0,682.574074074074,8464,305,2399,0.06523985641248777,164,0.004459915152833678,1,188,0.005139780267594909,7,0.00019036223213314478,1,150.33333333333334,426,21,0,0,31,0.12757201646090535,7811,2318,1104,486,618,971,0.2967609781077967,2.0996376811594204,228,218,1
Northern pintail,218361,13230,2453,66,3181,226,13.1,11.14,58.62,10.3,11.39,50.05,11.6,8,2,27,1476.0,492.22222222222223,2448,1196,1630,0.12320483749055178,69,0.005215419501133787,1,105,0.00801209372637944,6,0.00045351473922902497,0,198.42424242424244,497,3,0,0,0,0.0,7730,763,376,282,94,334,0.09870633893919793,2.029255319148936,86,54,1
Manhattan Project,19603,101197,18039,582,26102,2908,13.9,12.53,50.67,11.3,10.54,53.09,14.1,25,31,148,3970.64,684.9797297297297,19122,904,3144,0.03106811466743085,352,0.0034783639831220295,1,669,0.006620749626965226,37,0.00036562348686225877,1,172.88659793814432,666,20,0,0,24,0.041237113402061855,8368,6417,2647,1281,1366,2296,0.7668499043977055,2.4242538723082734,1112,847,1
Milton Keynes,148642,40807,7331,186,10140,929,14.7,12.71,49.86,11.6,11.43,52.48,13.1,15,44,140,2605.6,292.75,12840,139,3208,0.0786139632906119,319,0.007817286249908104,2,687,0.016884358075820324,14,0.00034307839341289484,1,218.3494623655914,1010,47,0,0,1,0.005376344086021506,7892,4989,1757,876,881,1471,0.632159148504815,2.8394991462720545,749,477,1
Humpback whale,231728,25494,4626,186,6200,529,12.2,11.95,62.27,8.9,9.96,47.99,11.7,10,10,39,2459.7,655.4615384615385,9139,1837,1332,0.052247587667686515,4,0.00015689966266572527,0,209,0.008198007374284146,18,0.0007060484819957637,0,136.06989247311827,390,39,0,0,2,0.010752688172043012,7707,3911,1688,987,701,1426,0.507460749967562,2.316943127962085,762,332,1
League of Nations,17926,77636,13625,389,19897,2017,15.9,13.12,46.71,12.8,12.37,56.63,14.5,20,38,120,3729.3,648.45,14230,416,4414,0.05685506723684888,136,0.0017517646452676592,9,432,0.005680354474728219,19,0.00024473182544180533,1,198.55526992287918,839,17,0,0,4,0.010282776349614395,8373,6191,3031,1341,1690,2652,0.739400453839723,2.0425602111514354,1299,289,1
Edward I of England,46373,68091,12549,423,17163,1478,14.5,12.02,56.29,11.2,12.15,53.72,13.2,12,18,81,5433.083333333333,841.8888888888889,15732,1041,3752,0.055102730169919664,422,0.00619758852124363,0,465,0.006829096356346653,18,0.00026435211701987044,1,159.97163120567376,481,20,0,0,26,0.061465721040189124,8127,4960,1941,1027,914,1672,0.6103113079857266,2.555383822771767,799,668,1
1880 United States presidential election,40525,30240,5427,178,7607,756,13.4,12.82,52.39,10.6,10.32,51.43,13.0,10,18,68,2913.4,447.0,6301,2190,1893,0.06259920634920635,0,0.0,0,243,0.008035714285714285,18,0.0005952380952380953,1,168.0056179775281,961,12,0,0,17,0.09550561797752809,8159,1047,461,317,144,400,0.12832454957715406,2.2711496746203905,118,59,1
