,title,page_id,doc2vec,quality
0,Mayan languages,182013,"[-4.3282576  -0.58440983 -3.6975913   4.439608   -4.106036   -1.0896089
  6.209448    0.09581598 -0.4653779   1.4789681   3.35169    -3.5942392
  3.9448023  -3.556694   -0.90587395  0.90160114 -4.9078236   0.72442985
 -1.7939571  -1.8846122  -1.6760124   4.269657   -3.0614388  -2.0644104
 -3.627174   -4.988843   -1.1887285  -4.7985935  -2.0679622  -7.550468
  5.425347    7.256851   -3.6811454  -4.11064     3.4682584   0.3645166
 -2.3524923  -4.568116    0.04031913  1.1107731  -1.039164   -2.2802582
 -0.19485517 -3.9818912  -2.6264045   0.7268548  -2.0618582   4.480008
 -1.5804741   1.8809193 ]",1
1,Mu'awiya I,207068,"[-0.45835763 -1.645587   -7.571336    5.8867984  -1.1093693  -0.4988539
 -0.02358567  0.4154915   2.3401845   2.2075     -2.1152804   5.2194433
 -1.2345454  -5.371991    4.5625052   3.434643   -4.62557    -2.1460547
 -1.0969305   4.233792   -6.5519595   6.0524216  -1.9740907  -2.62656
 -2.918249    0.7190767   1.7377775  -4.576321    5.2455096   2.4897826
  1.9601454   4.4139085  -5.3591084  -1.5041319  -3.9475133   8.4843645
 -2.8700871  -3.7806876  -2.864565   -2.2799368   3.2439055   0.9668029
 -4.7143183  -6.3959126  -2.211721    0.22880852 -2.8370347   3.2482712
  2.3399813   7.758655  ]",1
2,The Fountainhead,180464,"[-6.4600163  -7.294761    1.4258393   1.1202831  -3.8706076  -0.4128574
 -4.6314096  -2.491104   -2.3009288   0.28176942  0.7562774  -0.16920763
 -1.478714   -2.6312177   0.4507687  -4.3892336  -0.03608761  1.3054591
  2.2221503   0.31044057  3.8318815  -0.35482365 -1.65216     2.6000335
 -4.8175893  -2.8123899  -2.6744566  -3.0834064   0.00875214  1.4059752
  2.2118363  -1.0898436   1.4178962   1.9369444   0.66978097 -0.6986339
 -2.618146    1.0906869  -3.9770246   0.27491632 -0.0316645   5.154123
  1.2365874  -4.1034265  -4.905082    0.82113916  4.241541    1.7878886
  3.407739   -4.1378565 ]",1
3,Northern pintail,218361,"[-0.83020604 -0.21964337 -3.7077487   0.02074297  2.7362397   1.0183693
  3.787294    3.4773073  -1.0552855   2.1861565   0.591086   -0.09399705
  1.2255207  -2.7355537   1.1285708  -2.8432167  -0.5633727   3.7665694
  0.2733788  -2.1456485  -1.247022    0.02868479 -1.4145967  -0.77380365
 -0.8823316  -0.41008294 -0.5578401  -0.18168171 -3.195863   -1.235947
  2.2459722   0.26867366 -1.3295044  -0.5042244  -0.7142466   1.869299
  0.53725344  0.24340287 -0.50403    -0.37465674 -2.245       0.6896798
  0.06682529 -1.4510585   4.592106    4.1811733   2.5868285  -1.4225951
 -0.805212   -0.49412888]",1
4,Manhattan Project,19603,"[-8.766594   -2.032103    2.386581   -0.46897364  0.62682396 -1.0966469
  1.3084497  -0.25414506  0.30664238  1.2674929   1.4599328   2.124483
 -6.228973   -2.4784622  -1.9786558   0.2644148   0.8153745   2.6702478
  2.9482079  -0.3884409   0.30115205 -1.8345892  -0.0923821   1.1351365
  0.761069    4.306483   -4.9315386  -3.1741385  -1.2107242   0.8329033
  0.47145405 -3.324295    4.8429785  -8.438323   -3.9674625   5.391583
  1.1323599  -3.3780184  -3.511142    2.394853    4.120263    2.6819932
  3.2344031   1.2277491  -0.749949   -1.4557393   2.7585244   3.19466
 -1.0772034   0.66689605]",1
5,Milton Keynes,148642,"[-2.068044   -3.4966033  -0.891518    1.5798309   0.71413386 -0.43543136
  0.8020915  -0.01177702 -1.2899314   1.2179648   3.3998983   0.5507315
 -2.3862085   2.6218708  -0.63658625 -5.948833    0.03244665  0.61090195
 -0.67027134  1.5534338  -7.204688    0.9036837   1.3098364   1.6144774
 -0.05564687  2.2937243  -1.7379574   1.3148053  -2.239213   -0.5957825
  0.5227749  -1.8499701  -0.86167455 -2.3907979   0.8016474   0.02613557
 -2.550937   -0.37188092  3.1843028  -0.5927913  -2.6456335  -1.7387526
  0.999694    1.7214309   1.038457    0.417237   -3.6604927   4.49553
  5.6532574  -4.6374063 ]",1
6,Humpback whale,231728,"[-0.6311317   2.383149   -1.499315   -2.674364    1.4173514   1.7323343
  5.0500274   4.0425715   0.36480212  4.064956    1.8225962   0.5472635
 -0.86021715 -6.1829534  -1.3246342  -4.2440243  -0.247544    1.8707445
 -3.366991   -3.0446267   1.4403461  -0.27495387 -1.1920005  -0.19390684
 -0.5365636  -0.5650376  -1.584672   -0.1562438  -2.4640408  -0.71997607
  0.37849382  1.0259559   1.0972134  -3.9033258  -1.4870098   2.9671676
 -0.36576197 -1.0510952  -1.4252219  -0.2767624  -2.8925407   0.29701814
 -0.92359614 -4.1842904   5.510691    2.2299876   3.351551   -0.6645865
 -2.9690647  -0.79703224]",1
7,League of Nations,17926,"[-5.750845   -0.4067524  -2.0176837   4.7520347   1.3145369  -2.7873602
 -1.0606458   3.0258923   0.01178112  1.1400666  -1.7784654   5.4705606
 -3.7407577  -0.51905566 -2.7877412  -0.21445501  1.568424   -0.22327699
  1.7230642   0.7234292  -0.06209478 -1.181352   -1.073186   -3.174287
  4.266195   -2.4791875  -2.1096287  -1.9639685  -0.59228235 -0.56042814
  1.0662944   2.166074   -0.11488797 -2.0780754  -1.4524698   4.7017827
  0.8117451  -4.1465034  -3.008657   -5.8347225  -2.290037    5.143749
  3.426938    1.1875228  -0.93471295  3.630254    3.2114763   2.168765
 -0.4277152  -2.3316753 ]",1
8,Edward I of England,46373,"[ 0.09451643 -2.0043895  -3.6715572   2.2662468  -0.38912112 -3.0948932
 -1.0015594   1.7311811   0.436609    1.112023    1.815824    4.2465253
 -1.1192777  -0.53716207  0.16936533 -0.27565    -3.5442808   1.109992
 -4.2750144   5.5303693  -6.1830306   0.5512506  -1.7075968  -2.635752
 -1.1356139   6.2948623   0.3239707  -1.3347778   1.9034005   5.144244
  0.09849326  4.578216    1.6050849  -2.330224    2.5057683   5.4536996
  0.8433586  -2.519823    2.6771984  -1.0515263  -4.8023834   5.3304567
  1.2291331  -1.551733   -4.445526    9.183057   -0.01150238  2.1299856
  1.9801686  -2.487046  ]",1
9,1880 United States presidential election,40525,"[-4.5094986e+00 -4.6052065e+00  1.0895089e+00  1.9641165e+00
 -2.0952667e-01 -3.4449344e+00 -8.3983201e-01  1.5535492e-01
 -3.5336177e+00 -1.0460292e+00 -3.0120966e+00  3.4733653e+00
 -2.1624529e+00 -3.4447086e+00  4.9158769e+00 -2.6749496e+00
 -2.3510325e+00  4.7871351e+00 -3.1394508e-01  1.6735461e+00
  1.0318273e+00 -3.3753333e+00 -3.6640224e+00  1.2881600e+00
 -1.6647495e+00  1.9659749e-01  4.3752450e-01 -3.2193708e+00
  2.8956792e+00 -2.2100830e+00 -1.4047025e-03 -2.1910245e+00
 -3.1066940e+00 -2.6141527e+00 -7.9410625e-01  2.2160132e+00
  1.8776399e+00 -2.2736316e+00 -9.2547297e-01 -2.3243358e+00
  2.6133058e+00  6.5312378e-02 -3.0311725e+00 -1.4172027e+00
 -1.6259068e+00  5.1134987e+00  2.0698431e+00  1.3662047e+00
  7.6070309e-01  2.2279139e+00]",1
